food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason,NOVA_step2,TFIDF_score,TFIDF_match_name,Match_source,SBERT_score,SBERT_match_name,NOVA_step4,NOVA_final
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
prescription iron supplement 275mg eg sytron 5ml oral solution teaspoon,"Prescription iron supplement, 27.5mg (e.g. Sytron), 5ml oral solution (teaspoon)",Misc,,,,0.4018951245814991,,SBERT,0.7461985,liquid iron supplement 27 5mg,NC,NC
honey,Honey,"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",,,2,1.0,honey,TF-IDF,,,,2
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
fruit bars no added sugar eg nakd bars,"Fruit bars, no added sugar (e.g. nakd bars)",Dried fruit,,,,0.7703559024609615,,SBERT,0.8066362,fruit sticks bars made with fruit juice no added sugar or fat,1,1
sugarsnap peas,Sugar-snap peas,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.6788262097401082,,SBERT,0.72427964,peas from canned creamed,3,3
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,,4,1.0,butter unsalted,TF-IDF,,,,4
fisherman's pie home made,"Fisherman's pie, home made","Fish dishes: curry, seafood pasta, fish pie",3.0,homemade item,,,,Keyword,,,,3.0
cereal bar with fruit with or without coating,"Cereal bar with fruit, with or without coating","Breakfast alternatives: nutrigrain bar, pop tart, breakfast cereal bars",,,,0.5101561030979201,,SBERT,0.84030306,cereal bars with fruit and nuts not coated unfortified,4,4
carrots,Carrots,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.6947469702111506,,SBERT,0.78620106,carrots raw,1,1
peas,Peas,"Peas: frozen, fresh, canned, dried & split",,,,0.6788262097401082,,SBERT,0.78615916,peas from fresh creamed,1,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
cherries,Cherries,Fresh fruit,,,1,0.8642016798786631,cherries frozen,TF-IDF,,,,1
swiss roll with filling,"Swiss roll, with filling","Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,,0.8111890329406338,,SBERT,0.8780819,swiss roll with filling not coated purchased,4,4
toddler cereal bar eg organix carrot cake cereal bar,Toddler cereal bar (e.g. Organix carrot cake cereal bar),Infant foods,,,4,0.8592042690025639,organix carrot cake cereal bar,TF-IDF,,,,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
porridge made with whole milk,"Porridge, made with whole milk","Other breakfast cereals: muesli, bran flakes",1.0,plain dairy,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
cauliflower cooked,"Cauliflower, cooked","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7377170258560041,,SBERT,0.8860513,cauliflower fresh boiled,4,4
weetabix / wheat biscuits,Weetabix / Wheat biscuits,"Other breakfast cereals: muesli, bran flakes",4.0,snack item,,,,Keyword,,,,4.0
peanut butter no added sugar,"Peanut butter, no added sugar",Nuts,,,,0.768316664323364,,SBERT,0.8563392,peanut butter reduced sugar,3,3
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,,4,1.0,butter unsalted,TF-IDF,,,,4
vegetable soup canned,"Vegetable soup, canned",Soups,,,4,1.0000000000000002,vegetable soup canned,TF-IDF,,,,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
broccoli boiled,"Broccoli, boiled","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",3.0,boiled or mashed,,,,Keyword,,,,3.0
swiss roll with filling,"Swiss roll, with filling","Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,,0.8111890329406338,,SBERT,0.8780819,swiss roll with filling not coated purchased,4,4
garlic bread,Garlic bread,"Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,,4,1.0,bread garlic,TF-IDF,,,,4
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
carrots,Carrots,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.6947469702111506,,SBERT,0.78620106,carrots raw,1,1
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
fruit bars no added sugar eg nakd bars,"Fruit bars, no added sugar (e.g. nakd bars)",Dried fruit,,,,0.7703559024609615,,SBERT,0.8066362,fruit sticks bars made with fruit juice no added sugar or fat,1,1
toast granary bread,"Toast, granary bread",Brown and wholemeal bread/rolls,,,,0.7870140810448112,,SBERT,0.9519186,granary bread toasted,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
macaroni cheese,Macaroni cheese,"Cheese dishes: macaroni cheese, cheese sauce",,,,0.8089156314475927,,SBERT,0.847649,macaroni creamed with cheese,3,3
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
prescription iron supplement 275mg eg sytron 5ml oral solution teaspoon,"Prescription iron supplement, 27.5mg (e.g. Sytron), 5ml oral solution (teaspoon)",Misc,,,,0.4018951245814991,,SBERT,0.7461985,liquid iron supplement 27 5mg,NC,NC
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
weetabix / wheat biscuits,Weetabix / Wheat biscuits,"Other breakfast cereals: muesli, bran flakes",4.0,snack item,,,,Keyword,,,,4.0
beef lasagne,Beef lasagne,Meat based pasta dishes,,,,0.7723710676968908,,SBERT,0.86984706,lasagne beef ready meal,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
red grapes,Red grapes,Fresh fruit,,,,0.5426504058108859,,SBERT,0.74471176,grape nuts,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
melon honeydew,"Melon, honeydew",Fresh fruit,,,1,0.9305997897732652,honeydew melon raw,TF-IDF,,,,1
ham sandwich with wholemeal/oatmeal bread,Ham sandwich with wholemeal/oatmeal bread,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,,,0.6129735580878538,,SBERT,0.7060722,oatmeal bread,4,4
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,,1,0.9052316041909536,tangerines mandarins clementines flesh only,TF-IDF,,,,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
copy of fruit yoghurt,Copy of Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.5425408955409903,,SBERT,0.7370124,yogurts yoghurts fruit with added cream,4,4
chocolate chip cookie,Chocolate chip cookie,Sweet biscuits: excludes full coated biscuits,,,4,1.0000000000000002,cookie chocolate chip,TF-IDF,,,,4
mixed vegetables cooked from frozen,"Mixed vegetables, cooked from frozen","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.630470181362224,,SBERT,0.8174535,mixed vegetables frozen boiled salted,4,4
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,,1,0.9052316041909536,tangerines mandarins clementines flesh only,TF-IDF,,,,1
prescription iron supplement 275mg eg sytron 5ml oral solution teaspoon,"Prescription iron supplement, 27.5mg (e.g. Sytron), 5ml oral solution (teaspoon)",Misc,,,,0.4018951245814991,,SBERT,0.7461985,liquid iron supplement 27 5mg,NC,NC
macaroni cheese ready meal,"Macaroni cheese, ready meal",Non meat based pasta dishes,,,4,0.9064686742576077,macaroni cheese purchased ready meal,TF-IDF,,,,4
fruit smoothie with added vitamins eg naked super smoothie protect/energise type,"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",Fruit juices e.g. fresh orange juice,,,,0.5271004521508574,,SBERT,0.71635044,fruit smoothie drink made with fruit or fruit juice and dairy products,4,4
tomato fresh,"Tomato, fresh","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.5922885782104951,,SBERT,0.748809,tomatoes from fresh stewed,1,1
blackcurrant squash / juice with added sugar diluted,"Blackcurrant squash / juice, with ADDED SUGAR, diluted",Other cordials and squashes: excluding low calorie & reduced sugar,4.0,sweetened drink,,,,Keyword,,,,4.0
pitta bread wholemeal brown,"Pitta bread, wholemeal (brown)","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,4,0.8892060855185071,bread pitta wholemeal,TF-IDF,,,,4
copy of fruit yoghurt,Copy of Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.5425408955409903,,SBERT,0.7370124,yogurts yoghurts fruit with added cream,4,4
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw,,,,Keyword,,,,1.0
digestive biscuit,Digestive biscuit,Sweet biscuits: excludes full coated biscuits,4.0,snack item,,,,Keyword,,,,4.0
salami,Salami,Sausages,,,4,1.0,salami,TF-IDF,,,,4
porridge made with skimmed milk,"Porridge, made with skimmed milk","Other breakfast cereals: muesli, bran flakes",,,4,0.9104109816571925,porridge made with 1 2 skimmed milk 1 2 water,TF-IDF,,,,4
pitta bread wholemeal brown,"Pitta bread, wholemeal (brown)","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,4,0.8892060855185071,bread pitta wholemeal,TF-IDF,,,,4
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.6080627731313163,,SBERT,0.85128963,yogurts yoghurts fruit with added cream,4,4
pepperami or snack salami,Pepperami or snack salami,Sausages,,,,0.6471822160171683,,SBERT,0.77437985,salami,4,4
salami,Salami,Sausages,,,4,1.0,salami,TF-IDF,,,,4
pitta bread wholemeal brown,"Pitta bread, wholemeal (brown)","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,4,0.8892060855185071,bread pitta wholemeal,TF-IDF,,,,4
lentil soup canned,"Lentil soup, canned",Soups,,,4,1.0,lentil soup canned,TF-IDF,,,,4
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,,1,0.8735618583644809,cheddar cheese soup,TF-IDF,,,,1
chocolate chip cookie,Chocolate chip cookie,Sweet biscuits: excludes full coated biscuits,,,4,1.0000000000000002,cookie chocolate chip,TF-IDF,,,,4
tuna pasta bake with cheese,Tuna pasta bake (with cheese),Non meat based pasta dishes,,,,0.8231416801725002,,SBERT,0.85564786,tuna pasta bake with sweetcorn cheese sauce,4,4
salami,Salami,Sausages,,,4,1.0,salami,TF-IDF,,,,4
french stick/baguette bread white,"French stick/baguette (bread), white",White bread/rolls,,,4,1.0000000000000002,bread white french stick,TF-IDF,,,,4
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw,,,,Keyword,,,,1.0
biscuits filled with cream eg bourbons fox's crunch creams,"Biscuits filled with cream (e.g. bourbons, Fox's crunch creams)",Sweet biscuits: excludes full coated biscuits,4.0,snack item,,,,Keyword,,,,4.0
blackcurrant squash / juice with added sugar diluted,"Blackcurrant squash / juice, with ADDED SUGAR, diluted",Other cordials and squashes: excluding low calorie & reduced sugar,4.0,sweetened drink,,,,Keyword,,,,4.0
french stick/baguette bread white,"French stick/baguette (bread), white",White bread/rolls,,,4,1.0000000000000002,bread white french stick,TF-IDF,,,,4
salted popcorn,Salted popcorn,"Non-potato snacks e.g. pretzels, tortilla crisps",,,,0.667338868872434,,SBERT,0.8175787,popcorn salted e g microwave or purchased,4,4
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,,1,0.8735618583644809,cheddar cheese soup,TF-IDF,,,,1
water with coriander seeds and ginger water only koththamalli/coriander tea,Water with coriander seeds and ginger (water only) (Koththamalli/Coriander tea),Water,,,,0.7317627253215342,,SBERT,0.6195782,coriander seeds,4,4
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,,4,1.0,butter unsalted,TF-IDF,,,,4
peanuts salted,"Peanuts, salted",Nuts,,,3,1.0000000000000002,peanuts salted,TF-IDF,,,,3
tomato fresh,"Tomato, fresh","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.5922885782104951,,SBERT,0.748809,tomatoes from fresh stewed,1,1
skimmed milk,Skimmed milk,Skimmed milks: includes dried and longlife skimmed,,,,0.7624876786767467,,SBERT,0.8204789,instant whip skimmed milk,4,4
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.6080627731313163,,SBERT,0.85128963,yogurts yoghurts fruit with added cream,4,4
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,,4,1.0,butter unsalted,TF-IDF,,,,4
crystallised ginger,Crystallised ginger,Dried fruit,,,4,1.0,crystallised ginger,TF-IDF,,,,4
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,,1,0.8735618583644809,cheddar cheese soup,TF-IDF,,,,1
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,,3,1.0,butter salted,TF-IDF,,,,3
herbal/ fruit tea,Herbal/ Fruit tea,Tea (excluding added sugar),,,1,0.931049992423403,tea herbal,TF-IDF,,,,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
tomato fresh,"Tomato, fresh","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.5922885782104951,,SBERT,0.748809,tomatoes from fresh stewed,1,1
onions fried,"Onions, fried","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.6591338330970553,,SBERT,0.82722616,onion fried in lard,3,3
hot dog/frankfurter,Hot dog/frankfurter,Sausages,,,4,0.9200870517541785,frankfurter or hot dog chicken,TF-IDF,,,,4
skimmed milk,Skimmed milk,Skimmed milks: includes dried and longlife skimmed,,,,0.7624876786767467,,SBERT,0.8204789,instant whip skimmed milk,4,4
toast white bread,"Toast, white bread",White bread/rolls,,,,0.6543627705315798,,SBERT,0.9340069,bread white toasted,4,4
herbal/ fruit tea,Herbal/ Fruit tea,Tea (excluding added sugar),,,1,0.931049992423403,tea herbal,TF-IDF,,,,1
honey,Honey,"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",,,2,1.0,honey,TF-IDF,,,,2
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
french stick/baguette bread white,"French stick/baguette (bread), white",White bread/rolls,,,4,1.0000000000000002,bread white french stick,TF-IDF,,,,4
boiled egg,Boiled egg,"Eggs: whole egg, white, yolk, dried, boiled, fried, scrambled, omelette, poached",3.0,boiled or mashed,,,,Keyword,,,,3.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,,1,0.8735618583644809,cheddar cheese soup,TF-IDF,,,,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
short sweet biscuit eg nice malted milk,"Short, sweet biscuit (e.g. nice, malted milk)",Sweet biscuits: excludes full coated biscuits,4.0,snack item,,,,Keyword,,,,4.0
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.6080627731313163,,SBERT,0.85128963,yogurts yoghurts fruit with added cream,4,4
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,,3,1.0,butter salted,TF-IDF,,,,3
boiled egg,Boiled egg,"Eggs: whole egg, white, yolk, dried, boiled, fried, scrambled, omelette, poached",3.0,boiled or mashed,,,,Keyword,,,,3.0
porridge made with skimmed milk,"Porridge, made with skimmed milk","Other breakfast cereals: muesli, bran flakes",,,4,0.9104109816571925,porridge made with 1 2 skimmed milk 1 2 water,TF-IDF,,,,4
beetroot cooked,"Beetroot, cooked","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7225221007299133,,SBERT,0.85972756,beetroot uncooked,1,1
omelette with vegetables,"Omelette, with vegetables","Egg dishes: quiche, flan, scotch eggs",,,,0.6157347990114898,,SBERT,0.82360554,omelette with potatoes cheese and onion,3,3
white bread,White bread,White bread/rolls,,,4,1.0000000000000002,bread white,TF-IDF,,,,4
tea,Tea,Tea (excluding added sugar),,,,0.6205366703843419,,SBERT,0.76169395,tea russian,1,1
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,,4,1.0,butter unsalted,TF-IDF,,,,4
hot chocolate made with milk,"Hot chocolate, made with milk","Other hot drinks water and milk based e.g. hot chocolate, ovaltine",,,,0.754815783420408,,SBERT,0.8958309,hot chocolate made with semi skimmed milk,4,4
white rice fried eg pilau rice,"White rice, fried (e.g. pilau rice)",Rice,,,,0.5695659536606279,,SBERT,0.8172658,special fried rice,3,3
chocolate coated biscuit eg rocky bar club breakaway,"Chocolate coated biscuit (e.g. Rocky bar, Club, Breakaway)","Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits",4.0,snack item,,,,Keyword,,,,4.0
maltesers including supermarket brand equivalents,Maltesers (including supermarket brand equivalents),"Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits",,,,0.5164182095460482,,SBERT,0.8165331,maltesers and similar products,4,4
dairy squirty/spray cream eg anchor,Dairy squirty/spray cream (e.g. anchor),"Cream: single, double whipping & sterilised canned cream (excludes artificial creams & toppings)",,,,0.3972850854296599,,SBERT,0.52452385,non dairy soya cream alternative,4,4
fromage frais fruit incl children's not fortified eg tesco value,"Fromage frais, fruit (incl. children's) not fortified (e.g. Tesco value)",Low fat yoghurt/fromage frais,1.0,plain dairy,,,,Keyword,,,,1.0
dairy squirty/spray cream eg anchor,Dairy squirty/spray cream (e.g. anchor),"Cream: single, double whipping & sterilised canned cream (excludes artificial creams & toppings)",,,,0.3972850854296599,,SBERT,0.52452385,non dairy soya cream alternative,4,4
chapati white,"Chapati, white","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.8434398073340543,,SBERT,0.78145134,flour chapati white,3,3
hot chocolate made with milk,"Hot chocolate, made with milk","Other hot drinks water and milk based e.g. hot chocolate, ovaltine",,,,0.754815783420408,,SBERT,0.8958309,hot chocolate made with semi skimmed milk,4,4
bread roll white eg hamburger bun,"Bread roll, white (e.g. hamburger bun)",White bread/rolls,,,,0.5318565966768374,,SBERT,0.7504915,hamburger plain on bun,4,4
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
plain naan bread,Plain naan bread,"Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,,4,1.0,naan bread plain,TF-IDF,,,,4
chocolate hoops cereal,Chocolate hoops cereal,"Sugar coated breakfast cereals: sugar puffs, frosties",,,,0.6635111523924302,,SBERT,0.7616351,milk chocolate candy with cereal,4,4
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,,1,0.8735618583644809,cheddar cheese soup,TF-IDF,,,,1
chicken korma curry,"Chicken korma, curry",Chicken/Turkey dishes,,,,0.7474914147140134,,SBERT,0.8445317,chicken curry,1,1
nik naks crisps,Nik naks (crisps),Potato based crisps – full fat,,,,0.7290301288606996,,SBERT,0.7601129,nik naks any flavour,4,4
hot chocolate made with milk,"Hot chocolate, made with milk","Other hot drinks water and milk based e.g. hot chocolate, ovaltine",,,,0.754815783420408,,SBERT,0.8958309,hot chocolate made with semi skimmed milk,4,4
peanut butter smooth,"Peanut butter, smooth",Nuts,,,,0.7885967041332569,,SBERT,0.83113015,peanut butter smooth not wholenut,4,4
fromage frais fruit incl children's not fortified eg tesco value,"Fromage frais, fruit (incl. children's) not fortified (e.g. Tesco value)",Low fat yoghurt/fromage frais,1.0,plain dairy,,,,Keyword,,,,1.0
egg fried rice including takeaway,Egg fried rice (including takeaway),Rice,4.0,fast food,,,,Keyword,,,,4.0
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,SBERT,0.85781527,milk semi skimmed uht,3,3
blackcurrant squash / juice no added sugar diluted,"Blackcurrant squash / juice, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
apple and blackcurrant squash no added sugar diluted,"Apple and blackcurrant squash, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
blackcurrant squash / juice no added sugar diluted,"Blackcurrant squash / juice, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
orange squash no added sugar diluted,"Orange squash, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw,,,,Keyword,,,,1.0
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,,4,1.0,butter unsalted,TF-IDF,,,,4
baked beans,Baked beans,Baked beans,,,4,0.8649534966068606,beans baked canned,TF-IDF,,,,4
potato crisps eg walkers,Potato crisps (e.g. Walkers),Potato based crisps – full fat,,,,0.7985538892406345,,SBERT,0.7873174,potato crisps high oleic sunflower oil eg walkers,4,4
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
tomato ketchup,Tomato ketchup,Ketchup,4.0,processed ketchup,,,,Keyword,,,,4.0
milk cow’s/dairy type unknown,"Milk, cow’s/dairy, type unknown",Semi-skimmed milks: includes longlife semi-skimmed,,,,0.48349637734057527,,SBERT,0.6214107,yogurt greek style cows natural whole milk,1,1
pork sausage grilled,"Pork sausage, grilled",Sausages,,,4,0.8507751416605542,pork sausage smoked grilled,TF-IDF,,,,4
baked beans,Baked beans,Baked beans,,,4,0.8649534966068606,beans baked canned,TF-IDF,,,,4
chocolate brownie without nut,Chocolate brownie (without nut),"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,,0.6032172591895897,,SBERT,0.82080597,chocolate brownie no nuts purchased,4,4
toast 50:50 bread eg kingsmill,"Toast, 50:50 bread (e.g. Kingsmill)",Brown and wholemeal bread/rolls,,,,0.5744940751220311,,SBERT,0.65439796,bread sandwich wholemeal thins kingsmill,4,4
chicken goujon/nugget/dipper in breadcrumb or batter,"Chicken goujon/nugget/dipper, in breadcrumb or batter",Chicken/Turkey in breadcrumbs,,,,0.6773678732045874,,SBERT,0.6078828,quorn in breadcrumbs inc nuggets dippers goujons burgers,4,4
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.6080627731313163,,SBERT,0.85128963,yogurts yoghurts fruit with added cream,4,4
blackcurrant squash / juice no added sugar diluted,"Blackcurrant squash / juice, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
milkshake powder excluding nesquik,Milkshake powder (excluding Nesquik),"Milkshakes: includes purchased & made from powder mix, made with all milk types",4.0,dessert/snack item,,,,Keyword,,,,4.0
coated chewy sweets eg skittles,Coated chewy sweets (e.g Skittles),"Sweets (non-chocolate): toffee, boiled sweets, gums/jellies, mints, liquorice, raw jelly, popcorn",,,,0.5718493646369187,,SBERT,0.7405442,candy coated sweets with a jelly centre eg jelly beans,4,4
potato shapes eg alphabites smilies fried,"Potato shapes (e.g. Alphabites, Smilies), fried","Potato products e.g. wedges, waffles, croquettes",,,,0.39303957835727465,,SBERT,0.6326772,white potato skins with adhering flesh fried,1,1
blackcurrant squash / juice no added sugar diluted,"Blackcurrant squash / juice, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,,1,0.8735618583644809,cheddar cheese soup,TF-IDF,,,,1
milkshake / milk drink not chocolate eg strawberry banana,"Milkshake / Milk drink, not chocolate (e.g. strawberry, banana)","Milkshakes: includes purchased & made from powder mix, made with all milk types",1.0,raw,,,,Keyword,,,,1.0
scrambled egg,Scrambled egg,"Eggs: whole egg, white, yolk, dried, boiled, fried, scrambled, omelette, poached",,,,0.8341078004865639,,SBERT,0.86782545,scrambled egg sandwich,1,1
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
chocolate squares/pillows breakfast cereal supermarket brands,"Chocolate squares/pillows, breakfast cereal, supermarket brands","Other breakfast cereals: muesli, bran flakes",4.0,dessert/snack item,,,,Keyword,,,,4.0
skimmed milk,Skimmed milk,Skimmed milks: includes dried and longlife skimmed,,,,0.7624876786767467,,SBERT,0.8204789,instant whip skimmed milk,4,4
blackcurrant squash / juice no added sugar diluted,"Blackcurrant squash / juice, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
