Descriptionen,Descriptionen_clean,NOVA_keyword,Keyword_reason,NOVA_tfidf,TFIDF_score,TFIDF_match,TFIDF_source,NOVA_sbert,SBERT_score,SBERT_match,SBERT_source,Model_disagree_flag,NOVA_disagree_flag,Decision_flag,NOVA_final,Matched_name,Final_source,Final_reason
Roast potatoes,roast potatoes,,,,,,,3,0.89447665,potatoes roast in compound cooking fat,NDNS,False,False,auto_accept,3,potatoes roast in compound cooking fat,NDNS,SBERT matched
"Double strength squash, no added sugar, not diluted","double strength squash, no added sugar, not diluted",,,,,,,,0.7039575,squash winter type mashed no fat or sugar added in cooking,,False,False,auto_accept,,,,Unmatched
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Broccoli, boiled","broccoli, boiled",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
Baked potato crisps (e.g. Walkers),baked potato crisps (e.g. walkers),3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
Yoplait Frubes/Wildlife Choobs,yoplait frubes/wildlife choobs,1.0,group: yoghurt/plain dairy (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: yoghurt/plain dairy (group)
"Double strength squash, no added sugar, not diluted","double strength squash, no added sugar, not diluted",,,,,,,,0.7039575,squash winter type mashed no fat or sugar added in cooking,,False,False,auto_accept,,,,Unmatched
"Pork sausage, grilled","pork sausage, grilled",,,,,,,4,0.95776546,sausages pork grilled,NDNS,False,False,auto_accept,4,sausages pork grilled,NDNS,SBERT matched
Soft scoop vanilla ice cream,soft scoop vanilla ice cream,4.0,description: processed dessert,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed dessert
Cheddar cheese,cheddar cheese,,,3,1.0000000000000002,cheese cheddar irish,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Pain au chocolat/chocolate croissant,pain au chocolat/chocolate croissant,,,,,,,4,0.9200438,pain au chocolate chocolate croissant,NDNS,False,False,auto_accept,4,pain au chocolate chocolate croissant,NDNS,SBERT matched
Sausage roll,sausage roll,,,,,,,4,0.8931651,vegetable sausage roll,NDNS,False,False,auto_accept,4,vegetable sausage roll,NDNS,SBERT matched
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),dairylea dunkers (includes cheese dip and dunker (e.g. breadsticks),,,,,,,,0.6660871,dairylea dunkers cheese jumbo tubes,,False,False,auto_accept,,,,Unmatched
Carrots,carrots,,,3,1.0,carrots old boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
"Mashed potato, with butter","mashed potato, with butter",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
Cheddar cheese,cheddar cheese,,,3,1.0000000000000002,cheese cheddar irish,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Yoplait Frubes/Wildlife Choobs,yoplait frubes/wildlife choobs,1.0,group: yoghurt/plain dairy (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: yoghurt/plain dairy (group)
Cake slice with chocolate chip,cake slice with chocolate chip,,,,,,,,0.7731975,cookie rich chocolate chip with chocolate filling,,False,False,auto_accept,,,,Unmatched
Cake slice with chocolate chip,cake slice with chocolate chip,,,,,,,,0.7731975,cookie rich chocolate chip with chocolate filling,,False,False,auto_accept,,,,Unmatched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)","yorkshire pudding, shop-bought (e.g. aunt bessie)",,,,,,,,0.68221813,yorkshire pudding made with s skim milk and pufa,,False,False,auto_accept,,,,Unmatched
"Sandwich thins, white","sandwich thins, white",,,,,,,,0.7878792,bread sandwich wholemeal thins kingsmill,,False,False,auto_accept,,,,Unmatched
"Double strength squash, no added sugar, not diluted","double strength squash, no added sugar, not diluted",,,,,,,,0.7039575,squash winter type mashed no fat or sugar added in cooking,,False,False,auto_accept,,,,Unmatched
Gravy,gravy,,,4,1.0,gravy poultry,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
Yoplait Frubes/Wildlife Choobs,yoplait frubes/wildlife choobs,1.0,group: yoghurt/plain dairy (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: yoghurt/plain dairy (group)
Tomato ketchup,tomato ketchup,4.0,description: processed ketchup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed ketchup
Soft scoop vanilla ice cream,soft scoop vanilla ice cream,4.0,description: processed dessert,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed dessert
"Cauliflower, cooked","cauliflower, cooked",,,,,,,1,0.91200036,cauliflower cooked from fresh fat added in cooking,Giulia,False,False,auto_accept,1,cauliflower cooked from fresh fat added in cooking,Giulia,SBERT matched
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)","yorkshire pudding, shop-bought (e.g. aunt bessie)",,,,,,,,0.68221813,yorkshire pudding made with s skim milk and pufa,,False,False,auto_accept,,,,Unmatched
"Apple and blackcurrant squash, no added sugar, diluted","apple and blackcurrant squash, no added sugar, diluted",,,,,,,,0.74726456,apple and blackcurrant fruit juice not from concentrate,,False,False,auto_accept,,,,Unmatched
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),dairylea dunkers (includes cheese dip and dunker (e.g. breadsticks),,,,,,,,0.6660871,dairylea dunkers cheese jumbo tubes,,False,False,auto_accept,,,,Unmatched
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Blackcurrant squash / juice, no added sugar, diluted","blackcurrant squash / juice, no added sugar, diluted",,,,,,,,0.76419437,fruit drink double concentrated no added sugar contains blackcurrant,,False,False,auto_accept,,,,Unmatched
"Sour cream based dips, reduced fat","sour cream based dips, reduced fat",,,,,,,4,0.87013596,sour cream reduced fat,Giulia,False,False,auto_accept,4,sour cream reduced fat,Giulia,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Tortilla chips, flavoured, e.g. Doritos","tortilla chips, flavoured, e.g. doritos",,,,,,,4,0.8510355,tortilla chips,NDNS,False,False,auto_accept,4,tortilla chips,NDNS,SBERT matched
"Mashed potato, with butter","mashed potato, with butter",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
Gravy,gravy,,,4,1.0,gravy poultry,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
Chocolate filled crepe,chocolate filled crepe,,,,,,,1,0.95190156,crepe dessert type chocolate filled,Giulia,False,False,auto_accept,1,crepe dessert type chocolate filled,Giulia,SBERT matched
"Fishcakes coated in breadcrumb/batter, grilled or oven baked","fishcakes coated in breadcrumb/batter, grilled or oven baked",,,,,,,4,0.9478159,fishcakes coated in breadcrumbs grilled,NDNS,False,False,auto_accept,4,fishcakes coated in breadcrumbs grilled,NDNS,SBERT matched
Yoplait Frubes/Wildlife Choobs,yoplait frubes/wildlife choobs,1.0,group: yoghurt/plain dairy (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: yoghurt/plain dairy (group)
"Chocolate coated cake bar, individual","chocolate coated cake bar, individual",,,,,,,4,0.8930633,chocolate coated cake bars individual purchased,NDNS,False,False,auto_accept,4,chocolate coated cake bars individual purchased,NDNS,SBERT matched
"Potato shapes (e.g. Alphabites, Smilies), grilled/baked","potato shapes (e.g. alphabites, smilies), grilled/baked",,,,,,,,0.72358,potato croquettes grilled,,False,False,auto_accept,,,,Unmatched
"Blackcurrant squash / juice, no added sugar, diluted","blackcurrant squash / juice, no added sugar, diluted",,,,,,,,0.76419437,fruit drink double concentrated no added sugar contains blackcurrant,,False,False,auto_accept,,,,Unmatched
Fruit gums / jelly shapes (e.g. winegums),fruit gums / jelly shapes (e.g. winegums),4.0,description: sweet snack,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: sweet snack
Roast turkey (skin not eaten),roast turkey (skin not eaten),,,,,,,2,0.89684546,turkey dark meat roasted skin not eaten,Giulia,False,False,auto_accept,2,turkey dark meat roasted skin not eaten,Giulia,SBERT matched
Banana,banana,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Blackcurrant squash / juice, no added sugar, diluted","blackcurrant squash / juice, no added sugar, diluted",,,,,,,,0.76419437,fruit drink double concentrated no added sugar contains blackcurrant,,False,False,auto_accept,,,,Unmatched
Banana,banana,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Jelly, reduced sugar","jelly, reduced sugar",4.0,description: sweet snack,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: sweet snack
Pain au chocolat/chocolate croissant,pain au chocolat/chocolate croissant,,,,,,,4,0.9200438,pain au chocolate chocolate croissant,NDNS,False,False,auto_accept,4,pain au chocolate chocolate croissant,NDNS,SBERT matched
Raisins,raisins,1.0,group: dried fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: dried fruit (group)
"Carbonated beverages, with no added sugar containing juice e.g. Diet lilt, Diet Bitter lemon.","carbonated beverages, with no added sugar containing juice e.g. diet lilt, diet bitter lemon.",,,,,,,,0.7647011,carbonated beverages no juice low cal not canned,,False,False,auto_accept,,,,Unmatched
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
Sausage roll,sausage roll,,,,,,,4,0.8931651,vegetable sausage roll,NDNS,False,False,auto_accept,4,vegetable sausage roll,NDNS,SBERT matched
"Ham, not smoked","ham, not smoked",,,4,1.0,ham not smoked,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Blackcurrant squash / juice, no added sugar, diluted","blackcurrant squash / juice, no added sugar, diluted",,,,,,,,0.76419437,fruit drink double concentrated no added sugar contains blackcurrant,,False,False,auto_accept,,,,Unmatched
Garlic bread,garlic bread,,,4,1.0,garlic herb bread,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Roast/grilled chicken breast (skin not eaten),roast/grilled chicken breast (skin not eaten),,,,,,,2,0.861423,chicken breast stewed skin not eaten,Giulia,False,False,auto_accept,2,chicken breast stewed skin not eaten,Giulia,SBERT matched
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Boiled egg, white only","boiled egg, white only",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
Cheddar cheese,cheddar cheese,,,3,1.0000000000000002,cheese cheddar irish,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Yoplait Frubes/Wildlife Choobs,yoplait frubes/wildlife choobs,1.0,group: yoghurt/plain dairy (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: yoghurt/plain dairy (group)
"New potatoes, skins eaten","new potatoes, skins eaten",,,1,1.0,potatoes new boiled skins eaten,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Tortilla chips, flavoured, e.g. Doritos","tortilla chips, flavoured, e.g. doritos",,,,,,,4,0.8510355,tortilla chips,NDNS,False,False,auto_accept,4,tortilla chips,NDNS,SBERT matched
Cake slice with chocolate chip,cake slice with chocolate chip,,,,,,,,0.7731975,cookie rich chocolate chip with chocolate filling,,False,False,auto_accept,,,,Unmatched
"Sandwich thins, white","sandwich thins, white",,,,,,,,0.7878792,bread sandwich wholemeal thins kingsmill,,False,False,auto_accept,,,,Unmatched
Chocolate trifle,chocolate trifle,,,4,1.0,trifle chocolate purchased,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Baked potato crisps (e.g. Walkers),baked potato crisps (e.g. walkers),3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Sandwich thins, white","sandwich thins, white",,,,,,,,0.7878792,bread sandwich wholemeal thins kingsmill,,False,False,auto_accept,,,,Unmatched
Scrambled egg,scrambled egg,,,1,0.8727741940352929,scrambled egg sandwich,Giulia,,,,,False,False,auto_accept,1,,Giulia,TF-IDF matched
"Sauce for bolognese, no meat (e.g. Ragu)","sauce for bolognese, no meat (e.g. ragu)",,,,,,,3,0.8171576,bolognese sauce,NDNS,False,False,auto_accept,3,bolognese sauce,NDNS,SBERT matched
"Blackcurrant squash / juice, no added sugar, diluted","blackcurrant squash / juice, no added sugar, diluted",,,,,,,,0.76419437,fruit drink double concentrated no added sugar contains blackcurrant,,False,False,auto_accept,,,,Unmatched
"Carbonated beverages, with no added sugar containing juice e.g. Diet lilt, Diet Bitter lemon.","carbonated beverages, with no added sugar containing juice e.g. diet lilt, diet bitter lemon.",,,,,,,,0.7647011,carbonated beverages no juice low cal not canned,,False,False,auto_accept,,,,Unmatched
Haribo (sweets),haribo (sweets),4.0,description: sweet snack,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: sweet snack
"Hash browns, grilled / baked","hash browns, grilled / baked",,,,,,,,0.72563636,potato waffles fritters hash browns alphabites grill or bake,,False,False,auto_accept,,,,Unmatched
"Bacon, back/middle, smoked, grilled (fat removed)","bacon, back/middle, smoked, grilled (fat removed)",,,,,,,4,0.81715155,smoked bacon back xtra trim grilled or dry fried,NDNS,False,False,auto_accept,4,smoked bacon back xtra trim grilled or dry fried,NDNS,SBERT matched
Baked beans,baked beans,,,3,1.0,baked beans nfs,Giulia,,,,,False,False,auto_accept,3,,Giulia,TF-IDF matched
Salami,salami,,,4,1.0,salami,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Ham, not smoked","ham, not smoked",,,4,1.0,ham not smoked,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Apple and blackcurrant squash, no added sugar, diluted","apple and blackcurrant squash, no added sugar, diluted",,,,,,,,0.74726456,apple and blackcurrant fruit juice not from concentrate,,False,False,auto_accept,,,,Unmatched
Corn on the cob (sweetcorn),corn on the cob (sweetcorn),,,,,,,,0.7011938,corn on the cob kernels only boiled,,False,False,auto_accept,,,,Unmatched
"Pork sausage, grilled","pork sausage, grilled",,,,,,,4,0.95776546,sausages pork grilled,NDNS,False,False,auto_accept,4,sausages pork grilled,NDNS,SBERT matched
Cake slice with chocolate chip,cake slice with chocolate chip,,,,,,,,0.7731975,cookie rich chocolate chip with chocolate filling,,False,False,auto_accept,,,,Unmatched
Chocolate filled crepe,chocolate filled crepe,,,,,,,1,0.9519017,crepe dessert type chocolate filled,Giulia,False,False,auto_accept,1,crepe dessert type chocolate filled,Giulia,SBERT matched
"Sweetcorn / sweet corn, cooked","sweetcorn / sweet corn, cooked",,,,,,,,0.7410327,corn cooked from fresh with cream sauce made with milk,,False,False,auto_accept,,,,Unmatched
Tomato ketchup,tomato ketchup,4.0,description: processed ketchup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed ketchup
"Tortilla chips, flavoured, e.g. Doritos","tortilla chips, flavoured, e.g. doritos",,,,,,,4,0.8510355,tortilla chips,NDNS,False,False,auto_accept,4,tortilla chips,NDNS,SBERT matched
Apple juice,apple juice,,,1,1.0,apple juice,Giulia,,,,,False,False,auto_accept,1,,Giulia,TF-IDF matched
Yoplait Frubes/Wildlife Choobs,yoplait frubes/wildlife choobs,1.0,group: yoghurt/plain dairy (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: yoghurt/plain dairy (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Cheddar cheese,cheddar cheese,,,3,1.0000000000000002,cheese cheddar irish,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Oven chips,oven chips,,,,,,,4,0.8125655,potato chips oven ready baked,NDNS,False,False,auto_accept,4,potato chips oven ready baked,NDNS,SBERT matched
"Sour cream based dips, reduced fat","sour cream based dips, reduced fat",,,,,,,4,0.87013596,sour cream reduced fat,Giulia,False,False,auto_accept,4,sour cream reduced fat,Giulia,SBERT matched
"Apple, skin eaten","apple, skin eaten",1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Cadbury Dairy Milk Caramel Chocolate,cadbury dairy milk caramel chocolate,,,,,,,,0.7912779,chocolate dairy desserts chilled eg cadbury,,False,False,auto_accept,,,,Unmatched
"Pizza base, plain (including dough balls)","pizza base, plain (including dough balls)",,,,,,,,0.6603254,pizza rolls,,False,False,auto_accept,,,,Unmatched
"Spaghetti bolognese, home made (pasta and sauce)","spaghetti bolognese, home made (pasta and sauce)",3.0,description: homemade,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: homemade
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),chocolate coated biscuit and marshmallow (e.g. wagon wheel),,,,,,,,0.7738183,chocolate coated biscuits with marshmallow,,False,False,auto_accept,,,,Unmatched
"Bagel, white","bagel, white",,,4,0.8820054710045775,bagel,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
"Lightest spreadable butter (e.g. Lurpak, Sainsbury’s Buttersoft Light)","lightest spreadable butter (e.g. lurpak, sainsbury’s buttersoft light)",3.0,group: culinary fat/oil (group),,,,,,,,,False,False,auto_accept,3.0,,keyword,group: culinary fat/oil (group)
Banana,banana,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Blackcurrant squash / juice, no added sugar, diluted","blackcurrant squash / juice, no added sugar, diluted",,,,,,,,0.76419437,fruit drink double concentrated no added sugar contains blackcurrant,,False,False,auto_accept,,,,Unmatched
"Multigrain hoops (cheerios), supermarket brands","multigrain hoops (cheerios), supermarket brands",,,,,,,,0.79855144,multigrain hoops breakfast cereal supermarket brand,,False,False,auto_accept,,,,Unmatched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Blackcurrant squash / juice, no added sugar, diluted","blackcurrant squash / juice, no added sugar, diluted",,,,,,,,0.76419437,fruit drink double concentrated no added sugar contains blackcurrant,,False,False,auto_accept,,,,Unmatched
Organix Goodies gingerbread men,organix goodies gingerbread men,,,4,1.0000000000000002,organix goodies gingerbread men,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max","diet coca-cola, e.g. coke zero, pepsi max",,,,,,,,0.75635827,diet coke plus vitamins,,False,False,auto_accept,,,,Unmatched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Potato crisps (e.g. Walkers),potato crisps (e.g. walkers),,,,,,,4,0.8364896,potato crisps in sunseed oil eg walkers sensations sainsbury and tesco standard crisps,NDNS,False,False,auto_accept,4,potato crisps in sunseed oil eg walkers sensations sainsbury and tesco standard crisps,NDNS,SBERT matched
"Orange juice, 100% fruit (e.g. Tropicana)","orange juice, 100% fruit (e.g. tropicana)",,,,,,,,0.7882722,fruit juice drink,,False,False,auto_accept,,,,Unmatched
"Jam/conserve, berries (e.g. strawberry)","jam/conserve, berries (e.g. strawberry)",4.0,description: spread/syrup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: spread/syrup
Egg fried rice (including takeaway),egg fried rice (including takeaway),4.0,description: takeaway food,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: takeaway food
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Bottled mineral water, still or fizzy","bottled mineral water, still or fizzy",1.0,group: water (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: water (group)
Banana,banana,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Brown rice,brown rice,,,4,1.0,rice brown boiled,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Spicy/sweet chilli chicken wrap,spicy/sweet chilli chicken wrap,,,,,,,,0.75532764,chilli sauce,,False,False,auto_accept,,,,Unmatched
Chocolate chip cookie,chocolate chip cookie,,,4,1.0000000000000002,cookie chocolate chip,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
"Blackcurrant squash / juice, no added sugar, diluted","blackcurrant squash / juice, no added sugar, diluted",,,,,,,,0.76419437,fruit drink double concentrated no added sugar contains blackcurrant,,False,False,auto_accept,,,,Unmatched
"Blackcurrant squash / juice, no added sugar, diluted","blackcurrant squash / juice, no added sugar, diluted",,,,,,,,0.76419437,fruit drink double concentrated no added sugar contains blackcurrant,,False,False,auto_accept,,,,Unmatched
"Olive spread/margarine (e.g. Tesco, ASDA, Morrisons)","olive spread/margarine (e.g. tesco, asda, morrisons)",4.0,description: processed fat,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed fat
"Tomato, fresh","tomato, fresh",,,,,,,1,0.86090165,tomato puree,Giulia,False,False,auto_accept,1,tomato puree,Giulia,SBERT matched
Skimmed milk,skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Twin pot yoghurt, with fruit (e.g. Muller Corner)","twin pot yoghurt, with fruit (e.g. muller corner)",,,,,,,,0.7783028,twin pot probiotic yogurt with fruit and or crunch,,False,False,auto_accept,,,,Unmatched
Orange,orange,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Bagel, white","bagel, white",,,4,0.8820054710045775,bagel,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
"Bottled mineral water, still or fizzy","bottled mineral water, still or fizzy",1.0,group: water (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: water (group)
Brioche roll with chocolate chips,brioche roll with chocolate chips,,,,,,,4,0.8865093,chocolate chip brioche rolls purchased,NDNS,False,False,auto_accept,4,chocolate chip brioche rolls purchased,NDNS,SBERT matched
Potato wedges,potato wedges,,,4,0.8718265596520391,potato wedges baked,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Tortilla chips, flavoured, e.g. Doritos","tortilla chips, flavoured, e.g. doritos",,,,,,,4,0.8510355,tortilla chips,NDNS,False,False,auto_accept,4,tortilla chips,NDNS,SBERT matched
Chicken legs/wings marinated,chicken legs/wings marinated,,,,,,,3,0.82063687,chicken wings marinated or bbq or grilled,NDNS,False,False,auto_accept,3,chicken wings marinated or bbq or grilled,NDNS,SBERT matched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),chocolate coated biscuit and marshmallow (e.g. wagon wheel),,,,,,,,0.77381825,chocolate coated biscuits with marshmallow,,False,False,auto_accept,,,,Unmatched
Mozzarella cheese,mozzarella cheese,,,3,1.0,cheese mozzarella,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
"Semi skimmed milk, boiled","semi skimmed milk, boiled",1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Chocolate chip cookie,chocolate chip cookie,,,4,1.0000000000000002,cookie chocolate chip,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
Apple juice,apple juice,,,1,1.0,apple juice,Giulia,,,,,False,False,auto_accept,1,,Giulia,TF-IDF matched
Mozzarella cheese,mozzarella cheese,,,3,1.0,cheese mozzarella,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Twix (chocolate & caramel biscuit fingers),twix (chocolate & caramel biscuit fingers),,,,,,,,0.7616171,milk chocolate covered caramel and biscuit fingers eg twix drifter munchies,,False,False,auto_accept,,,,Unmatched
Marshmallows,marshmallows,,,4,1.0,marshmallows,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Pasta shapes, white/tricolore","pasta shapes, white/tricolore",,,,,,,1,0.8294035,flavored pasta,Giulia,False,False,auto_accept,1,flavored pasta,Giulia,SBERT matched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Mixed leaf salad, no dressing","mixed leaf salad, no dressing",,,,,,,1,0.87426615,mixed leaf salad,NDNS,False,False,auto_accept,1,mixed leaf salad,NDNS,SBERT matched
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
Green pesto,green pesto,,,4,0.8913730792514549,pesto sauce green,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Tomato, fresh","tomato, fresh",,,,,,,1,0.86090165,tomato puree,Giulia,False,False,auto_accept,1,tomato puree,Giulia,SBERT matched
Apple juice,apple juice,,,1,1.0,apple juice,Giulia,,,,,False,False,auto_accept,1,,Giulia,TF-IDF matched
"Honey hoops cereal (cheerios), supermarket brands","honey hoops cereal (cheerios), supermarket brands",,,,,,,,0.77185863,new day honey hoops cereal fortified,,False,False,auto_accept,,,,Unmatched
Apple juice,apple juice,,,1,1.0,apple juice,Giulia,,,,,False,False,auto_accept,1,,Giulia,TF-IDF matched
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),chocolate coated biscuit and marshmallow (e.g. wagon wheel),,,,,,,,0.7738183,chocolate coated biscuits with marshmallow,,False,False,auto_accept,,,,Unmatched
"Tortilla chips, flavoured, e.g. Doritos","tortilla chips, flavoured, e.g. doritos",,,,,,,4,0.8510355,tortilla chips,NDNS,False,False,auto_accept,4,tortilla chips,NDNS,SBERT matched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Toast, white bread","toast, white bread",,,,,,,4,0.96383166,bread white toasted,NDNS,False,False,auto_accept,4,bread white toasted,NDNS,SBERT matched
Red grapes,red grapes,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Chips, fried","chips, fried",,,,,,,4,0.81044054,chips fine cut fried in rapeseed oil mcdonalds,NDNS,False,False,auto_accept,4,chips fine cut fried in rapeseed oil mcdonalds,NDNS,SBERT matched
Apple juice,apple juice,,,1,1.0,apple juice,Giulia,,,,,False,False,auto_accept,1,,Giulia,TF-IDF matched
"Tortilla chips, flavoured, e.g. Doritos","tortilla chips, flavoured, e.g. doritos",,,,,,,4,0.8510355,tortilla chips,NDNS,False,False,auto_accept,4,tortilla chips,NDNS,SBERT matched
Lancashire cheese,lancashire cheese,,,4,1.0,cheese lancashire,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Jam/conserve, reduced sugar","jam/conserve, reduced sugar",4.0,description: spread/syrup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: spread/syrup
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
