Descriptionen,Failure_reason
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Chapati, wholemeal (brown)",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Blackcurrant squash , high juice, no added sugar, diluted",No match found
Magnum classic or white,No match found
Yellow lentils (Peeli dal),No match found
Ferrero Rocher,No match found
Oaty biscuit (e.g. Hob nob),No match found
Digestive biscuit,No match found
Greggs steak bake,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Ginger biscuit (e.g. ginger nuts, gingerbread men)",No match found
"Tenderstem broccoli, cooked",No match found
"Multigrain hoops (cheerios), supermarket brands",No match found
Oaty biscuit (e.g. Hob nob),No match found
"Sweetcorn / sweet corn, cooked",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Lemonade, still",No match found
Digestive biscuit,No match found
"Bread, crispy, made with white chapati flour, fenugreek leaves and spices (Methi khakra)",No match found
Digestive biscuit,No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Cheesy mash,No match found
"Orange squash, no added sugar, diluted",No match found
Digestive biscuit,No match found
Decaf tea,No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Pure fruit puree, ready to eat pot or pouch",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",No match found
Decaf tea,No match found
"Vimto, still",No match found
"Pure fruit puree, ready to eat pot or pouch",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
Decaf tea,No match found
Decaf tea,No match found
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",No match found
"Vimto, still",No match found
Belgian bun,No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
Digestive biscuit,No match found
"Paratha, white",No match found
Mayonnaise (e.g. Hellmans),No match found
Chocolate mini roll,No match found
Pom Bears (crisps),No match found
Kit Kat / Kit Kat Chunky (including supermarket own brand equivalents),No match found
Cake bar with sultanas e.g. Mr kipling country slices,No match found
Pom Bears (crisps),No match found
Copy of Fruit yoghurt,No match found
Cheese sandwich with wholemeal/oatmeal bread,No match found
Fox's party rings,No match found
Malt loaf (e.g. Soreen),No match found
"Ring doughnut, without icing",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Rice cake, savoury flavoured (e.g. Snack a Jacks)",No match found
Tuna mayo sandwich with white/malted bread,No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Digestive biscuit,No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Sweetcorn / sweet corn, cooked",No match found
Processed cheese slices (e.g. individually wrapped for melting on burgers),No match found
Pom Bears (crisps),No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Coco Pops/Snaps, supermarket brands",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Pepperami or snack salami,No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Pom Bears (crisps),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Pom Bears (crisps),No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Sweetcorn / sweet corn, cooked",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
Mcvities rich tea,No match found
Tuna mayo sandwich with white/malted bread,No match found
Mini cheddars,No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Sweetcorn / sweet corn, canned",No match found
"Turkey breast, slices (pre-packed/deli)",No match found
Chocolate mini roll,No match found
Pringles,No match found
Mayonnaise (e.g. Hellmans),No match found
Sugar-snap peas,No match found
"Turkey breast, slices (pre-packed/deli)",No match found
Houmous/hummus,No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
"Chips, french fries/fine cut, fried (from frozen)",No match found
"50/50 bread (e.g. Kingsmill, Warburtons)",No match found
"Orange squash, no added sugar, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Poppadums,No match found
"Orange squash, no added sugar, diluted",No match found
"Chapati, white",No match found
"Vimto, still",No match found
"Chicken bhuna, curry",No match found
"Spaghetti/tagliatelle (pasta), wholemeal",No match found
Copy of Fruit yoghurt,No match found
"Broccoli, steamed/microwaved",No match found
"Broccoli, steamed/microwaved",No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
Dairy squirty/spray cream (e.g. anchor),No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
Poppadums,No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
Lollipops (e.g. Chupa Chups),No match found
"Fruit squash, high juice, no added sugar, diluted",No match found
"Sweetcorn, corn on the cob, roasted (Chhali / Makai/ Bhuta)",No match found
"Chapati, white",No match found
Lentils,No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
"Lucozade Energy (including Original, Orange, Pink Lemonade)",No match found
"Chicken bhuna, curry",No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Wrap/tortilla, white",No match found
"Hash browns, grilled / baked",No match found
"Multigrain hoops (cheerios), supermarket brands",No match found
"50/50 bread (e.g. Kingsmill, Warburtons)",No match found
Light mayonnaise (e.g. Hellmans light),No match found
"Wrap/tortilla, white",No match found
Twix (chocolate & caramel biscuit fingers),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Chocolate and caramel biscuit bars (e.g. Drifter, Rocky Caramel)",No match found
"Wrap/tortilla, white",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash , high juice, no added sugar, diluted",No match found
Prawn cocktail snacks (e.g. Skips),No match found
"Cod/haddock fillet, fried",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Fruit squash, high juice, no added sugar, diluted",No match found
Copy of Fruit yoghurt,No match found
"Ribena squash / juice, diluted, with ADDED SUGAR",No match found
Cheese salad sandwich with wholemeal/oatmeal bread,No match found
Processed cheese slices (e.g. individually wrapped for melting on burgers),No match found
"Cranberry squash,  diluted",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
Cheese salad sandwich with wholemeal/oatmeal bread,No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Coco Pops/Snaps, supermarket brands",No match found
Wafer sandwich biscuit (e.g. pink wafer biscuit),No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Rice cake, savoury flavoured (e.g. Snack a Jacks)",No match found
Smarties,No match found
Robinson's fruit shoot juiced,No match found
Wafer sandwich biscuit (e.g. pink wafer biscuit),No match found
Hunters chicken,No match found
"Potato shapes (e.g. Alphabites, Smilies), fried",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",No match found
Wafer sandwich biscuit (e.g. pink wafer biscuit),No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Sweetcorn / sweet corn, canned",No match found
"Red/yellow/orange pepper, cooked",No match found
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),No match found
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),No match found
"Green pepper, fried",No match found
Mayonnaise (e.g. Hellmans),No match found
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),No match found
"Paratha, white",No match found
Coconut rice,No match found
Bottle gourd halwa (Lauki/ Dudhi halwa),No match found
"Poppadum, fried (Fried papad)",No match found
"Lamb tikka masala, curry",No match found
"Chapati, white",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Bata fish, fried",No match found
Omelette with meat (e.g. ham),No match found
"Nailotika fish (Tilapia), fried",No match found
"Omelette, with vegetables",No match found
Coca-Cola/Coke/Pepsi,No match found
"Potato shapes (e.g. Alphabites, Smilies), fried",No match found
Pouring cream,No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Scotch pancake/drop scone,No match found
Hunters chicken,No match found
Twister ice lolly,No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
Copy of Fruit yoghurt,No match found
Coca-Cola/Coke/Pepsi,No match found
Garlic/flavoured naan bread,No match found
Pecorino cheese,No match found
"50/50 bread (e.g. Kingsmill, Warburtons)",No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
Sweet potato curry (Bathala maluwa),No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Dairy squirty/spray cream (e.g. anchor),No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Utterly Butterly,No match found
"Blackcurrant squash , high juice, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
Millionaire/caramel shortbread,No match found
Corn on the cob (sweetcorn),No match found
"Orange squash, high juice, no added sugar, diluted",No match found
Milk Chocolate shapes (e.g mice/coins),No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
Houmous/hummus,No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Vegetarian meat-style sausage (e.g. Linda McCartney), not Quorn",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Blackcurrant squash , high juice, no added sugar, diluted",No match found
Houmous/hummus,No match found
"Sweetcorn / sweet corn, canned",No match found
"Chapati, white",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Flapjack, coated in chocolate/yoghurt",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Orange squash, no added sugar, diluted",No match found
Lentil dahl/ curry (Masar daal gravy),No match found
"Orange squash, no added sugar, diluted",No match found
"Flapjack, coated in chocolate/yoghurt",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Fruit squash, high juice, no added sugar, diluted",No match found
"Chapati, white",No match found
Cheesy mash,No match found
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",No match found
"Fruit squash, high juice, no added sugar, diluted",No match found
"Fruit squash, high juice, no added sugar, diluted",No match found
"Fruit squash, high juice, no added sugar, diluted",No match found
"Chapati, white",No match found
"Fruit squash, high juice, no added sugar, diluted",No match found
"Chapati, white",No match found
"Fruit squash, high juice, no added sugar, diluted",No match found
"Chapati, white",No match found
"Fruit squash, high juice, no added sugar, diluted",No match found
"Omelette, with vegetables",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",No match found
"Fruit squash, high juice, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Nut butter, not peanut (e.g. almond, cashew)",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Sweetcorn / sweet corn, cooked",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Spaghetti/tagliatelle (pasta), wholemeal",No match found
Digestive biscuit,No match found
Digestive biscuit,No match found
Pom Bears (crisps),No match found
"Prescription iron supplement, 27.5mg (e.g. Sytron), 5ml oral solution (teaspoon)",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
"Spaghetti/tagliatelle (pasta), wholemeal",No match found
Garlic/flavoured naan bread,No match found
"Crinkle-cut crisps (e.g. McCoy's, Seabrooks)",No match found
Scotch pancake/drop scone,No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Ribena squash / juice, diluted, with ADDED SUGAR",No match found
Lemon cake (e.g. lemon drizzle),No match found
"Sweetcorn / sweet corn, cooked",No match found
Cheesy mash,No match found
Ham sandwich with wholemeal/oatmeal bread,No match found
Red berry fruit smoothie,No match found
Copy of Fruit yoghurt,No match found
"Ice lolly, juice-based (e.g. Fruit Pastilles)",No match found
Pom Bears (crisps),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Mini cheddars,No match found
Fox's party rings,No match found
Ice lolly,No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
"Cranberry squash,  diluted",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Fish pie, toddler meal (e.g. Little Dish, Annabel Karmel)",No match found
Tuna mayo sandwich with white/malted bread,No match found
Robinson's fruit shoot juiced,No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Chicken and vegetable roll or wrap, made with chickpea flour (Shawarma)",No match found
"Savoury lentil cake with rice, potato, and vegetables (Handvo/ Undhwa)",No match found
Soya beans / edamame beans,No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
Copy of Fruit yoghurt,No match found
"Bata fish, fried",No match found
"Chicken and vegetable roll or wrap, made with chickpea flour (Shawarma)",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
Cheese sandwich with wholemeal/oatmeal bread,No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
Carrot and swede mash,No match found
Quorn mince,No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
Pom Bears (crisps),No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Kit Kat / Kit Kat Chunky (including supermarket own brand equivalents),No match found
Robinson's fruit shoot juiced,No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Bread, made with white chapati flour, deep fried (Puri/ Poori)",No match found
"Oat milk/drink, flavoured (e.g. Alpro chocolate)",No match found
"Sweet and salty snack with rice flakes, chickpeas, sugar, peanuts and sago, deep fried (e.g. Haldiram's khatta meetha)",No match found
"Bread, made with white chapati flour, deep fried (Puri/ Poori)",No match found
Chickpea curry (e.g. chana masala),No match found
Bottle gourd dumpling curry (Dudhi kofta / Ghia kofta/ Lauki kofta),No match found
"Bottle gourd curry, dry (Ghia/ Lauki/ Lau/ koddu curry)",No match found
"Chapati, wholemeal (brown)",No match found
"Aubergine, grilled or roasted, mashed with oil and tomato (Baingan bharta)",No match found
Coca-Cola/Coke/Pepsi,No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Yam, fried (Mach alu (Dioscorea species) vaga)",No match found
Beef/frying steak,No match found
Beef kebab,No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
Copy of Fruit yoghurt,No match found
"Chickpea flour balls, with sugar and ghee (Besan ladoo)",No match found
"Sri Lankan egg roti/paratha, made with white chapati flour, soaked in oil, with egg",No match found
"Mixed lentil with wheat, barley and shredded chicken (Haleem/ Daleem)",No match found
"Paratha, made with white chapati flour and stuffed with minced lamb (Keema/ Qeema paratha)",No match found
Beef/frying steak,No match found
"Mixed lentil with wheat, barley and shredded mutton (Haleem/ Daleem)",No match found
Yellow lentils (Peeli dal),No match found
"Omelette, with vegetables",No match found
"Paratha, made with white chapati flour and stuffed with minced lamb (Keema/ Qeema paratha)",No match found
Beef kebab,No match found
"Omelette, with vegetables",No match found
"Chapati, white, shop-bought",No match found
Lentil dahl/ curry (Masar daal gravy),No match found
Coca-Cola/Coke/Pepsi,No match found
"Paratha, made with white chapati flour and stuffed with minced lamb (Keema/ Qeema paratha)",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Chapati, white",No match found
"Chapati, white",No match found
"Chicken/turkey kebab (meat, pitta and salad)",No match found
Mango pickle (Aam ka achar/ Mango achar/ Mangai urukai),No match found
"Chapati, wholemeal (brown)",No match found
"Lamb kebab (meat, pitta and salad)",No match found
Lentil dahl/ curry (Masar daal gravy),No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
Chicken/turkey kebab,No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Candy coated chocolate drops (e.g. mini eggs),No match found
"Single strength squash, with ADDED SUGAR, not diluted (e.g. Vimto, Miwadi)",No match found
"Blackcurrant squash , high juice, no added sugar, diluted",No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
Curry sauce (e.g. balti/jalfrezi),No match found
"Single strength squash, with ADDED SUGAR, not diluted (e.g. Vimto, Miwadi)",No match found
"Single strength squash, with ADDED SUGAR, not diluted (e.g. Vimto, Miwadi)",No match found
"Multigrain hoops (cheerios), supermarket brands",No match found
"Hash browns, grilled / baked",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
"Chips, french fries/fine cut, fried (from frozen)",No match found
"Vimto, still",No match found
Cornetto/king cone (Including supermarket brands),No match found
Cadbury cream / crème egg,No match found
"50/50 bread (e.g. Kingsmill, Warburtons)",No match found
Vegetarian meatballs (e.g. Quorn meatballs),No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Sweetcorn / sweet corn, cooked",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Pom Bears (crisps),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
Copy of Fruit yoghurt,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Cheese feast, loaded cheese, 4 cheese pizza",No match found
"Double strength squash, no added sugar, not diluted",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"50/50 bread (e.g. Kingsmill, Warburtons)",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Red berry squash, diluted",No match found
Pringles,No match found
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",No match found
Sugar-snap peas,No match found
"Potato shapes (e.g. Alphabites, Smilies), fried",No match found
"Crinkle-cut crisps (e.g. McCoy's, Seabrooks)",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Babybel cheese,No match found
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",No match found
Babybel cheese,No match found
Ham sandwich with wholemeal/oatmeal bread,No match found
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",No match found
Babybel cheese,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Sweetcorn / sweet corn, canned",No match found
"Hash browns, grilled / baked",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Ham sandwich with wholemeal/oatmeal bread,No match found
Red berry fruit smoothie,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Sweet or savoury pancake,No match found
Cadbury cream / crème egg,No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Copy of Fruit yoghurt,No match found
Chia seeds,No match found
Malt loaf (e.g. Soreen),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Pasta shapes, wholemeal",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Candy coated chocolate drops (e.g. mini eggs),No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Fish sandwich paste (e.g. salmon),No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
Fish sandwich paste (e.g. salmon),No match found
"Coco Pops/Snaps, supermarket brands",No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
"Coco Pops/Snaps, supermarket brands",No match found
Poppadums,No match found
"Chapati, white",No match found
Lentil dahl/ curry (Masar daal gravy),No match found
Pringles,No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",No match found
"Wrap/tortilla, white",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Pringles,No match found
"Coco Pops/Snaps, supermarket brands",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
"Chips, french fries/fine cut, fried (from frozen)",No match found
Tuna mayo sandwich with white/malted bread,No match found
"Wrap/tortilla, white",No match found
Copy of Fruit yoghurt,No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
Mayonnaise (e.g. Hellmans),No match found
"Sauce mix, made-up (e.g. parsley/peppercorn)",No match found
Dairy squirty/spray cream (e.g. anchor),No match found
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
Tuna mayo sandwich with white/malted bread,No match found
"Pasta shapes, wholemeal",No match found
"Mini sweetcorn (babycorn), cooked",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Pasta shapes, wholemeal",No match found
Milk Chocolate shapes (e.g mice/coins),No match found
Houmous/hummus,No match found
Milk Chocolate shapes (e.g mice/coins),No match found
Semolina,No match found
Barley (e.g pearl barley/wholegrain),No match found
"Sweetcorn / sweet corn, cooked",No match found
Red berry fruit smoothie,No match found
"Semi-sweet biscuit (e.g. Rich Tea, Morning Coffee)",No match found
White or wholegrain ready cooked plain rice (e.g. Uncle Bens),No match found
White or wholegrain ready cooked plain rice (e.g. Uncle Bens),No match found
"Crinkle-cut crisps (e.g. McCoy's, Seabrooks)",No match found
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),No match found
Aero mousse,No match found
Tuna mayo sandwich with wholemeal/oatmeal bread,No match found
White or wholegrain ready cooked plain rice (e.g. Uncle Bens),No match found
"Chicken and vegetable roll or wrap, made with white chapati flour (Shawarma)",No match found
"Custard, ready to eat, individual pots",No match found
Tuna mayo sandwich with white/malted bread,No match found
"Honey hoops cereal (cheerios), supermarket brands",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Broccoli, steamed/microwaved",No match found
"Red/yellow/orange pepper, cooked",No match found
"Orange squash, no added sugar, diluted",No match found
Pulled pork,No match found
Tahini,No match found
"Wrap/tortilla, wholemeal (brown)",No match found
"Orange squash, no added sugar, diluted",No match found
Babybel cheese,No match found
"Broccoli, steamed/microwaved",No match found
Garlic/flavoured naan bread,No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Kit Kat / Kit Kat Chunky (including supermarket own brand equivalents),No match found
"Multigrain hoops (cheerios), supermarket brands",No match found
Digestive biscuit,No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Digestive biscuit,No match found
"Sweetcorn / sweet corn, canned",No match found
"Sweetcorn / sweet corn, cooked",No match found
"Galaxy caramel, chocolate bar",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Digestive biscuit,No match found
Digestive biscuit,No match found
"Chapati, white",No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
"Chicken burger/turkey burger, fried (no bun)",No match found
"Mixed fruit juice, 100% fruit (e.g. Tropicana)",No match found
Sugar sweetener mix (e.g. Silver Spoon Half Spoon Sugar),No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
"Chapati, white",No match found
Coca-Cola/Coke/Pepsi,No match found
Dairy squirty/spray cream (e.g. anchor),No match found
Kit Kat / Kit Kat Chunky (including supermarket own brand equivalents),No match found
"Mango juice drink, ready to drink (e.g. Frooti)",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Coca-Cola/Coke/Pepsi,No match found
"Chapati, white",No match found
"Chicken portion, fried",No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
Pom Bears (crisps),No match found
"Chicken portion, fried",No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
Digestive biscuit,No match found
"Orange squash, no added sugar, diluted",No match found
"Pancake, sweet, deep fried (Malpua)",No match found
Lentil dahl/ curry (Masar daal gravy),No match found
"Orange squash, no added sugar, diluted",No match found
Lentil dahl/ curry (Masar daal gravy),No match found
Cheese sandwich with wholemeal/oatmeal bread,No match found
"Orange squash, no added sugar, diluted",No match found
"Chapati, white",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Mayonnaise (e.g. Hellmans),No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
Cake slice with chocolate chip,No match found
"Custard, flavoured, ready to eat (e.g. Ambrosia chocolate custard)",No match found
Chicken and bacon wrap,No match found
Pot Noodle / Pot Rice,No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
Mayonnaise (e.g. Hellmans),No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
Mayonnaise (e.g. Hellmans),No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
Mayonnaise (e.g. Hellmans),No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
