Descriptionen,NOVA_final_fallback,Fallback_source,Fallback_reason
"Ribena squash / juice, diluted, with ADDED SUGAR",4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Coco Pops/Snaps, supermarket brands",4,NDNS,SBERT fallback
Babybel cheese,4,Giulia,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",4,NDNS,SBERT fallback
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",4,NDNS,SBERT fallback
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",4,NDNS,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Wafer sandwich biscuit (e.g. pink wafer biscuit),4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Cheese sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
Light mayonnaise (e.g. Hellmans light),4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Light mayonnaise (e.g. Hellmans light),4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
Ham sandwich with wholemeal/oatmeal bread,4,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Boulder type cereal (e.g. Nestle Golden Nuggets),4,NDNS,SBERT fallback
Rice with minced mutton (Khasir kima et biryani),3,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Mint chutney (Minchi sambola),4,NDNS,SBERT fallback
"Fruit squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
Processed cheese slices (e.g. individually wrapped for melting on burgers),4,NDNS,SBERT fallback
"Chips, french fries/fine cut, fried (from frozen)",4,NDNS,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
Processed cheese slices (e.g. individually wrapped for melting on burgers),4,NDNS,SBERT fallback
"Potato and egg curry, dry (Aloo anda sabzi)",3,NDNS,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
"Mango juice drink, ready to drink (e.g. Frooti)",1,NDNS,SBERT fallback
"Chips, french fries/fine cut, fried (from frozen)",4,NDNS,SBERT fallback
Chickpea curry (e.g. chana masala),4,NDNS,SBERT fallback
Processed cheese slices (e.g. individually wrapped for melting on burgers),4,NDNS,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Chocolate covered caramels e.g. toffee poppets, Rolo's, eclairs",4,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Ham sandwich with wholemeal/oatmeal bread,4,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Ham sandwich with wholemeal/oatmeal bread,4,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Chapati, wholemeal (brown)",4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Chicken goujon/nugget/dipper, in breadcrumb or batter",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Blackcurrant squash , high juice, no added sugar, diluted",4,NDNS,SBERT fallback
Yellow lentils (Peeli dal),3,NDNS,SBERT fallback
Oaty biscuit (e.g. Hob nob),4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Greggs steak bake,4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Ginger biscuit (e.g. ginger nuts, gingerbread men)",3,NDNS,SBERT fallback
"Tenderstem broccoli, cooked",1,Giulia,SBERT fallback
"Multigrain hoops (cheerios), supermarket brands",4,NDNS,SBERT fallback
Oaty biscuit (e.g. Hob nob),4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Lemonade, still",4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
"Bread, crispy, made with white chapati flour, fenugreek leaves and spices (Methi khakra)",1,Giulia,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Decaf tea,1,NDNS,SBERT fallback
"Pure fruit puree, ready to eat pot or pouch",1,NDNS,SBERT fallback
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",4,Giulia,SBERT fallback
Decaf tea,1,NDNS,SBERT fallback
"Pure fruit puree, ready to eat pot or pouch",1,NDNS,SBERT fallback
Decaf tea,1,NDNS,SBERT fallback
Decaf tea,1,NDNS,SBERT fallback
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",4,Giulia,SBERT fallback
Belgian bun,3,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
"Paratha, white",4,NDNS,SBERT fallback
Mayonnaise (e.g. Hellmans),4,Giulia,SBERT fallback
Chocolate mini roll,4,Giulia,SBERT fallback
Kit Kat / Kit Kat Chunky (including supermarket own brand equivalents),4,NDNS,SBERT fallback
Cake bar with sultanas e.g. Mr kipling country slices,3,NDNS,SBERT fallback
Copy of Fruit yoghurt,4,NDNS,SBERT fallback
Cheese sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
Malt loaf (e.g. Soreen),4,NDNS,SBERT fallback
"Ring doughnut, without icing",4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Rice cake, savoury flavoured (e.g. Snack a Jacks)",4,Giulia,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
Processed cheese slices (e.g. individually wrapped for melting on burgers),4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Coco Pops/Snaps, supermarket brands",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Pepperami or snack salami,4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
Mcvities rich tea,1,NDNS,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
Mini cheddars,3,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
"Turkey breast, slices (pre-packed/deli)",4,Giulia,SBERT fallback
Chocolate mini roll,4,Giulia,SBERT fallback
Mayonnaise (e.g. Hellmans),4,Giulia,SBERT fallback
Sugar-snap peas,4,NDNS,SBERT fallback
"Turkey breast, slices (pre-packed/deli)",4,Giulia,SBERT fallback
Houmous/hummus,1,Giulia,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),4,NDNS,SBERT fallback
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",4,NDNS,SBERT fallback
"Chicken goujon/nugget/dipper, in breadcrumb or batter",4,NDNS,SBERT fallback
"Chips, french fries/fine cut, fried (from frozen)",4,NDNS,SBERT fallback
"50/50 bread (e.g. Kingsmill, Warburtons)",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
"Chicken bhuna, curry",1,Giulia,SBERT fallback
"Spaghetti/tagliatelle (pasta), wholemeal",4,NDNS,SBERT fallback
Copy of Fruit yoghurt,4,NDNS,SBERT fallback
"Broccoli, steamed/microwaved",1,NDNS,SBERT fallback
"Broccoli, steamed/microwaved",1,NDNS,SBERT fallback
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",4,NDNS,SBERT fallback
Dairy squirty/spray cream (e.g. anchor),3,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",4,NDNS,SBERT fallback
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",4,NDNS,SBERT fallback
"Fruit squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Sweetcorn, corn on the cob, roasted (Chhali / Makai/ Bhuta)",4,Giulia,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
Lentils,4,NDNS,SBERT fallback
"Spaghetti/tagliatelle (pasta), white or tricolore",1,NDNS,SBERT fallback
"Lucozade Energy (including Original, Orange, Pink Lemonade)",4,NDNS,SBERT fallback
"Chicken bhuna, curry",1,Giulia,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
"Wrap/tortilla, white",4,NDNS,SBERT fallback
"Hash browns, grilled / baked",4,NDNS,SBERT fallback
"Multigrain hoops (cheerios), supermarket brands",4,NDNS,SBERT fallback
"50/50 bread (e.g. Kingsmill, Warburtons)",4,NDNS,SBERT fallback
Light mayonnaise (e.g. Hellmans light),4,NDNS,SBERT fallback
"Wrap/tortilla, white",4,NDNS,SBERT fallback
Twix (chocolate & caramel biscuit fingers),4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Chocolate and caramel biscuit bars (e.g. Drifter, Rocky Caramel)",4,Giulia,SBERT fallback
"Wrap/tortilla, white",4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash , high juice, no added sugar, diluted",4,NDNS,SBERT fallback
Prawn cocktail snacks (e.g. Skips),4,NDNS,SBERT fallback
"Cod/haddock fillet, fried",1,Giulia,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
Copy of Fruit yoghurt,4,NDNS,SBERT fallback
"Ribena squash / juice, diluted, with ADDED SUGAR",4,NDNS,SBERT fallback
Cheese salad sandwich with wholemeal/oatmeal bread,1,Giulia,SBERT fallback
Processed cheese slices (e.g. individually wrapped for melting on burgers),4,NDNS,SBERT fallback
"Cranberry squash,  diluted",3,Giulia,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
Cheese salad sandwich with wholemeal/oatmeal bread,1,Giulia,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Coco Pops/Snaps, supermarket brands",4,NDNS,SBERT fallback
Wafer sandwich biscuit (e.g. pink wafer biscuit),4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Rice cake, savoury flavoured (e.g. Snack a Jacks)",4,Giulia,SBERT fallback
Robinson's fruit shoot juiced,4,NDNS,SBERT fallback
Wafer sandwich biscuit (e.g. pink wafer biscuit),4,NDNS,SBERT fallback
Hunters chicken,1,Giulia,SBERT fallback
"Potato shapes (e.g. Alphabites, Smilies), fried",1,Giulia,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",4,Giulia,SBERT fallback
Wafer sandwich biscuit (e.g. pink wafer biscuit),4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
"Red/yellow/orange pepper, cooked",1,Giulia,SBERT fallback
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),4,NDNS,SBERT fallback
"Spaghetti/tagliatelle (pasta), white or tricolore",1,NDNS,SBERT fallback
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),4,NDNS,SBERT fallback
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),4,NDNS,SBERT fallback
"Green pepper, fried",3,NDNS,SBERT fallback
Mayonnaise (e.g. Hellmans),4,Giulia,SBERT fallback
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),4,NDNS,SBERT fallback
"Paratha, white",4,NDNS,SBERT fallback
Coconut rice,1,Giulia,SBERT fallback
Bottle gourd halwa (Lauki/ Dudhi halwa),4,NDNS,SBERT fallback
"Poppadum, fried (Fried papad)",3,NDNS,SBERT fallback
"Lamb tikka masala, curry",1,Giulia,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Bata fish, fried",1,Giulia,SBERT fallback
Omelette with meat (e.g. ham),4,NDNS,SBERT fallback
"Nailotika fish (Tilapia), fried",1,Giulia,SBERT fallback
"Omelette, with vegetables",4,NDNS,SBERT fallback
Coca-Cola/Coke/Pepsi,4,NDNS,SBERT fallback
"Potato shapes (e.g. Alphabites, Smilies), fried",1,Giulia,SBERT fallback
Pouring cream,4,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
Hunters chicken,1,Giulia,SBERT fallback
Twister ice lolly,4,Giulia,SBERT fallback
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",4,NDNS,SBERT fallback
Copy of Fruit yoghurt,4,NDNS,SBERT fallback
Coca-Cola/Coke/Pepsi,4,NDNS,SBERT fallback
Garlic/flavoured naan bread,4,NDNS,SBERT fallback
Pecorino cheese,3,NDNS,SBERT fallback
"50/50 bread (e.g. Kingsmill, Warburtons)",4,NDNS,SBERT fallback
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",4,NDNS,SBERT fallback
Sweet potato curry (Bathala maluwa),3,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
Dairy squirty/spray cream (e.g. anchor),3,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Utterly Butterly,4,NDNS,SBERT fallback
"Blackcurrant squash , high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
Millionaire/caramel shortbread,4,NDNS,SBERT fallback
Corn on the cob (sweetcorn),4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
Milk Chocolate shapes (e.g mice/coins),4,Giulia,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
Houmous/hummus,1,Giulia,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Vegetarian meat-style sausage (e.g. Linda McCartney), not Quorn",4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash , high juice, no added sugar, diluted",4,NDNS,SBERT fallback
Houmous/hummus,1,Giulia,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Flapjack, coated in chocolate/yoghurt",4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Lentil dahl/ curry (Masar daal gravy),4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Flapjack, coated in chocolate/yoghurt",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",4,Giulia,SBERT fallback
"Fruit squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
"Fruit squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
"Fruit squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
"Fruit squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Omelette, with vegetables",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",4,Giulia,SBERT fallback
"Fruit squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Nut butter, not peanut (e.g. almond, cashew)",3,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Spaghetti/tagliatelle (pasta), wholemeal",4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
"Prescription iron supplement, 27.5mg (e.g. Sytron), 5ml oral solution (teaspoon)",NC,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",4,NDNS,SBERT fallback
"Spaghetti/tagliatelle (pasta), wholemeal",4,NDNS,SBERT fallback
Garlic/flavoured naan bread,4,NDNS,SBERT fallback
"Crinkle-cut crisps (e.g. McCoy's, Seabrooks)",4,NDNS,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
"Spaghetti/tagliatelle (pasta), white or tricolore",1,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Ribena squash / juice, diluted, with ADDED SUGAR",4,NDNS,SBERT fallback
Lemon cake (e.g. lemon drizzle),1,Giulia,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
Ham sandwich with wholemeal/oatmeal bread,4,Giulia,SBERT fallback
Red berry fruit smoothie,4,NDNS,SBERT fallback
Copy of Fruit yoghurt,4,NDNS,SBERT fallback
"Ice lolly, juice-based (e.g. Fruit Pastilles)",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Mini cheddars,3,NDNS,SBERT fallback
Ice lolly,4,NDNS,SBERT fallback
"Chicken goujon/nugget/dipper, in breadcrumb or batter",4,NDNS,SBERT fallback
"Cranberry squash,  diluted",3,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Fish pie, toddler meal (e.g. Little Dish, Annabel Karmel)",4,Giulia,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
Robinson's fruit shoot juiced,4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Chicken and vegetable roll or wrap, made with chickpea flour (Shawarma)",4,NDNS,SBERT fallback
"Savoury lentil cake with rice, potato, and vegetables (Handvo/ Undhwa)",1,Giulia,SBERT fallback
Soya beans / edamame beans,4,NDNS,SBERT fallback
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",4,NDNS,SBERT fallback
Copy of Fruit yoghurt,4,NDNS,SBERT fallback
"Bata fish, fried",1,Giulia,SBERT fallback
"Chicken and vegetable roll or wrap, made with chickpea flour (Shawarma)",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Cheese sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Carrot and swede mash,1,Giulia,SBERT fallback
Quorn mince,4,NDNS,TF-IDF fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
Kit Kat / Kit Kat Chunky (including supermarket own brand equivalents),4,NDNS,SBERT fallback
Robinson's fruit shoot juiced,4,NDNS,SBERT fallback
"Bread, made with white chapati flour, deep fried (Puri/ Poori)",4,NDNS,SBERT fallback
"Oat milk/drink, flavoured (e.g. Alpro chocolate)",4,NDNS,SBERT fallback
"Sweet and salty snack with rice flakes, chickpeas, sugar, peanuts and sago, deep fried (e.g. Haldiram's khatta meetha)",4,Giulia,SBERT fallback
"Bread, made with white chapati flour, deep fried (Puri/ Poori)",4,NDNS,SBERT fallback
Chickpea curry (e.g. chana masala),4,NDNS,SBERT fallback
Bottle gourd dumpling curry (Dudhi kofta / Ghia kofta/ Lauki kofta),3,NDNS,SBERT fallback
"Bottle gourd curry, dry (Ghia/ Lauki/ Lau/ koddu curry)",3,NDNS,SBERT fallback
"Chapati, wholemeal (brown)",4,NDNS,SBERT fallback
"Aubergine, grilled or roasted, mashed with oil and tomato (Baingan bharta)",3,NDNS,SBERT fallback
Coca-Cola/Coke/Pepsi,4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
Beef/frying steak,1,Giulia,SBERT fallback
Beef kebab,3,NDNS,SBERT fallback
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",4,NDNS,SBERT fallback
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",4,NDNS,SBERT fallback
Copy of Fruit yoghurt,4,NDNS,SBERT fallback
"Chickpea flour balls, with sugar and ghee (Besan ladoo)",3,NDNS,SBERT fallback
"Sri Lankan egg roti/paratha, made with white chapati flour, soaked in oil, with egg",4,Giulia,SBERT fallback
"Mixed lentil with wheat, barley and shredded chicken (Haleem/ Daleem)",4,Giulia,SBERT fallback
"Paratha, made with white chapati flour and stuffed with minced lamb (Keema/ Qeema paratha)",4,NDNS,SBERT fallback
Beef/frying steak,1,Giulia,SBERT fallback
